        toxicity  severe_toxicity    obscene     threat     insult  identity_attack
count  10.000000        10.000000  10.000000  10.000000  10.000000        10.000000
mean    0.008812         0.000117   0.000329   0.000147   0.000402         0.000169
std     0.023328         0.000017   0.000413   0.000078   0.000629         0.000062
min     0.000566         0.000096   0.000170   0.000101   0.000176         0.000134
25%     0.000681         0.000104   0.000179   0.000114   0.000178         0.000138
50%     0.000794         0.000114   0.000185   0.000123   0.000182         0.000145
75%     0.001165         0.000127   0.000193   0.000132   0.000189         0.000152
max     0.074987         0.000144   0.001496   0.000364   0.002182         0.000330
Toxicity > 0.5: 0 out of 10
Toxicity > 0.7: 0 out of 10
Toxicity > 0.9: 0 out of 10
